data,question,answer
2020.02.06. , 질문 1. 중학생 과목별 인강 추천해주세요. 질문 2. 인강으로 어떻게 공부해야 하나요?(자세하게) , 답변 질문 1. 중학생 과목별 인강 추천해주세요. -> 수박씨닷컴은 주요과목의 경우 출판사별로 내신강의가 진행중입니다. 질문자님의 학교 교과서 출판사에 맞춰 강의 선택을... 
2020.04.05. , 중학생이고... 이시국에 가도 되나요? 정신적으로 문제가 있다고 생각이 되어서 가보려고 하는데요 정신과는 아무래도 부모님께 말해야하기도 하고... 제가 상담 받아본... , 답변 안녕하세요. 아산시 청소년상담복지센터 사이버상담원입니다. 글쓴이님의 글은 잘 읽어보았습니다. 심리상담을 받고 싶은데 걱정이 되는 부분이 있어 글을 올려주셨네요.... 
2020.09.17. ," 중학생여드름 질문드립니다! 중학교 올라가는데 아직도 여드름이 ㅠㅠ 초등학교 5학년때부터 나기 시작했는데, 여드름 제품 사용해 보고 싶어요. 세트로 구매하면 비싸서... ", 답변 안녕하세요~ 중학생여드름 질문 받았습니다. 세트로 구매해서 사용하는게 좋긴 한데 우선 질문자님한테 맞는 제품을 고르기가 쉽지는 않으니 중학생여드름에 효과적인것이... 
2020.07.17. , 계속 친구들 보내는데만 보내봐서..질문하게됐어요. 청라수학과외 유명하신 분 찾는데 중학생 3학년이랑 고등학생 2학년이거든요 입시까지 해주시는 전문과외쌤 찾아요 , 답변 초등학생 중학생 고등학생에게 큰 힘이 되어주고 있습니다. 청라초등학생수학과외 청라중학생수학과외 청라고등학생수학과외 청라영어과외 청라수학과외 청라과외... 
2020.08.31. , 안녕하세요 부사관학과를 꿈꾸는 중학생입니다 몇가지 질문을 여쭤보겠습니다 1.부사관학과를 갈려면 공부를 잘해야하나요? 아니면 내신이 높아야하나요? 2.부사관학과는... , 답변 남학생이면 국방부지정 군특성화고로 가세요. 군특성화고는 졸업과 동시에 병으로 입대하여 병장만기 후 전문하사로 임관하는 제도 입니다. 일부 학교는 성적이 낮아도 갈... 
2020.06.02. , 저 예비 중학생인데 제가 낯가림도 심하고 적응도 잘 못하고 걱정하고 고민부터 하는 성격이라서 먼저 알아두고 중학교 생활 시작하면 좋을 것 같아서 질문해요ㅠ 1.중학교... , 답변 1.중학교 1학년 과목은 무엇이 있나요? 중학교는 고등학교와 달리 공통 교육과정에 의거하여 필수적으로 이수해야 할 교과목들이 거의 고정적인 편이다. 대부분의... 
2020.02.13. , 전문인분들 제 질문에 자세히! 답 좀 부탁드려요 ㅜㅁㅜ 1. 쌍수를 하기 가장 적절한 나이는 몇살인가요 2. 중학생(16살)이 쌍수를 하면 부모님께서 하시는 말 처럼... ," 답변 경우 중학생 이전의 나이라도 바로잡아주는 것이 좋습니다. 단 청소년기에는 흉터도... 질문에 도움이 되시길 바라며, 혼자 고민하기 보다는 병원에 직접 내원하시어 수술... "
2019.11.29. , 저는 중2 여학생 입니다. 먼저 상황을 말씀 드리자면 체육시간에 저희 친구들이랑 다른 무리(?) 친구들이 있는데 저희가 공을 가지고 놀다가 그친구들이 갑자기 끼더니 공을... , 답변 중학생 학폭위 질문 잘 읽어 보았습니다. 중2여학생으로 학생들 간의 감정적 분쟁과 여러가지 어려움을 겪고 있는 상황으로 보입니다. 학폭위 심의 시에는 다양한 상황을... 
2020.04.04. ," 중학생 3학년, 사회교과서를 받았는데요 출판사가 천재교과서인데 천재교과서에서 나온 문제집이 없어서 그런데... 천재교육에서 나온 문제집을 사야 되는건가요, 아님... "," 답변 안녕하세요? 수박씨 멘토입니다.^^ 중학교 3학년 사회 교과서가 천재거라면 문제집 천재와 관련된 걸로 꼭 맞춰서 살 필요가 없는 게 사회, 과학, 역사의 경우... "
2020.01.11. ," 주변에 아는 중학생언니도 없어서 여기애 물어보내여ㅠㅠ 1 . 교복 위에 입을 옷 (후드 ,자켓) 인터넷에서 어디로 들어가 사야되나여? 2 . 학교에서 슬리퍼를 신나요?... "," 답변 1 . 교복 위에 입을 옷 (후드 ,자켓) 인터넷에서 어디로 들어가 사야되나여? 교복에 어울리는, 입기좋은 겉옷 추천!! (봄·가을) | 김무비 KIM ... https://www.youtube.... "
